future_code,market,future_name,clock,date,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
RR2402,DCE,粳米2402,90000,2023-09-13,3664.0,3664.0,3662.0,0.0,3663.0,3659.0,3666.0,3662.0,10.0,8.0,4.0,4812.0,3663.0
RR2405,DCE,粳米2405,90000,2023-09-13,3691.0,3693.0,3687.0,0.0,3690.0,3688.0,3694.0,3689.0,13.0,3.0,10.0,2000.0,3689.7
BU2309,DCE,沥青2309,90000,2023-09-13,3959.0,3959.0,3910.0,0.0,3906.0,3900.0,3920.0,3910.0,5.0,1.0,2.0,4720.0,3934.5
UR2309,DCE,尿素2309,90007,2023-09-13,2544.0,2544.0,2544.0,0.0,2544.0,2521.0,0.0,2544.0,30.0,0.0,100.0,654.0,2544.0
RR2406,DCE,粳米2406,90018,2023-09-13,3695.0,3695.0,3694.0,0.0,3694.0,3694.0,3702.0,3694.0,3.0,2.0,3.0,1530.0,3694.333
RR2407,DCE,粳米2407,90018,2023-09-13,3705.0,3711.0,3704.0,0.0,3704.0,3706.0,3714.0,3711.0,1.0,3.0,7.0,1595.0,3705.714
EB2406,DCE,苯乙烯2406,90018,2023-09-13,8666.0,8683.0,8620.0,0.0,8504.0,8626.0,8696.0,8683.0,1.0,1.0,25.0,461.0,8651.32
CS2407,DCE,淀粉2407,90020,2023-09-13,2879.0,2883.0,2877.0,0.0,2881.0,2877.0,2886.0,2883.0,1.0,4.0,486.0,3936.0,2878.979
A2407,DCE,豆一2407,90032,2023-09-13,5063.0,5083.0,5051.0,0.0,5054.0,5051.0,5067.0,5054.0,2.0,4.0,40.0,853.0,5068.225
PG2408,DCE,液化石油气2408,90034,2023-09-13,5006.0,5006.0,4927.0,0.0,4888.0,4878.0,4969.0,4927.0,2.0,2.0,6.0,162.0,4952.5
JM2408,DCE,焦煤2408,90036,2023-09-13,1618.0,1618.0,1578.0,0.0,1623.0,1581.5,1595.0,1586.0,1.0,3.0,19.0,76.0,1593.816
PB2309,DCE,铅2309,90036,2023-09-13,16900.0,17085.0,16880.0,0.0,17330.0,16880.0,16955.0,16920.0,10.0,5.0,1420.0,14935.0,16922.975
EB2404,DCE,苯乙烯2404,90037,2023-09-13,8774.0,8785.0,8730.0,0.0,8678.0,8734.0,8785.0,8755.0,1.0,1.0,363.0,1363.0,8759.882
SN2309,DCE,锡2309,90037,2023-09-13,215540.0,215600.0,215540.0,0.0,216910.0,215120.0,217050.0,215600.0,2.0,4.0,32.0,2040.0,215596.25
B2406,DCE,豆二2406,90038,2023-09-13,4107.0,4108.0,4042.0,0.0,4110.0,4060.0,4082.0,4061.0,2.0,2.0,57.0,411.0,4072.246
B2407,DCE,豆二2407,90038,2023-09-13,4103.0,4111.0,4038.0,0.0,4114.0,4041.0,4074.0,4066.0,2.0,5.0,108.0,949.0,4072.0
AO2402,DCE,氧化铝2402,90040,2023-09-13,3012.0,3012.0,2990.0,0.0,3048.0,2944.0,2999.0,2998.0,2.0,3.0,10.0,750.0,2999.0
RR2403,DCE,粳米2403,90041,2023-09-13,3665.0,3665.0,3665.0,0.0,3667.0,3658.0,3671.0,3665.0,3.0,10.0,1.0,2132.0,3665.0

