date,time,code
2023-09-14,93500.0,I2401
2023-09-14,94500.0,I2401
2023-09-14,95500.0,I2401
2023-09-14,100500.0,I2401
2023-09-14,101500.0,I2401
2023-09-14,102500.0,I2401
2023-09-14,103500.0,I2401
2023-09-14,104500.0,I2401
2023-09-14,105500.0,I2401
2023-09-14,110500.0,I2401
2023-09-14,111500.0,I2401
2023-09-14,112500.0,I2401
2023-09-14,133500.0,I2401
2023-09-14,134500.0,I2401
2023-09-14,135500.0,I2401
2023-09-14,140500.0,I2401
2023-09-14,141500.0,I2401
2023-09-14,142500.0,I2401
2023-09-14,143500.0,I2401
2023-09-14,144500.0,I2401
2023-09-14,145500.0,I2401
2023-09-19,101500.0,CF2401
2023-09-19,102500.0,CF2401
2023-09-19,103500.0,CF2401
2023-09-19,110500.0,CF2401
2023-09-19,111500.0,CF2401
2023-09-19,112500.0,CF2401
2023-09-19,133500.0,CF2401
2023-09-19,134500.0,CF2401
2023-09-19,135500.0,CF2401
2023-09-19,140500.0,CF2401
2023-09-19,141500.0,CF2401
2023-09-19,142500.0,CF2401
2023-09-19,143500.0,CF2401
2023-09-19,144500.0,CF2401
2023-09-19,145500.0,CF2401
2023-09-20,93500.0,FU2401
2023-09-20,94500.0,FU2401
2023-09-20,95500.0,FU2401
2023-09-20,100500.0,FU2401
2023-09-20,101500.0,FU2401
2023-09-20,102500.0,FU2401
2023-09-20,103500.0,FU2401
2023-09-20,104500.0,FU2401
2023-09-20,105500.0,FU2401
2023-09-20,110500.0,FU2401
2023-09-20,111500.0,FU2401
2023-09-20,112500.0,FU2401
2023-09-20,133500.0,FU2401
2023-09-20,134500.0,FU2401
2023-09-20,135500.0,FU2401
2023-09-20,140500.0,FU2401
2023-09-20,141500.0,FU2401
2023-09-20,142500.0,FU2401
2023-09-20,143500.0,FU2401
2023-09-20,144500.0,FU2401
2023-09-20,145500.0,FU2401
2023-09-21,104500.0,FU2401
2023-09-22,93500.0,FU2401
2023-09-22,94500.0,FU2401
2023-09-22,95500.0,FU2401
2023-09-22,100500.0,FU2401
2023-09-22,101500.0,FU2401
2023-09-22,102500.0,FU2401
2023-09-22,103500.0,FU2401
2023-09-22,104500.0,FU2401
2023-09-22,105500.0,FU2401
2023-09-22,110500.0,FU2401
2023-09-22,111500.0,FU2401
2023-09-22,112500.0,FU2401
2023-09-22,133500.0,FU2401
2023-09-22,134500.0,FU2401
2023-09-22,135500.0,FU2401
2023-09-22,140500.0,FU2401
2023-09-22,141500.0,FU2401
2023-09-22,142500.0,FU2401
2023-09-22,143500.0,FU2401
2023-09-22,144500.0,FU2401
2023-09-22,145500.0,FU2401
